listing_id,unit_id,project_id,project_name,university,distance_to_campus_m,facility_count,agent_id,floor,size_sqm,room_type,view,furnished,week_listed,date_listed,season_listed,asking_rent,first_asking_rent,weeks_on_market,n_viewings,leased,week_leased,tenant_segment,lease_months
LS017205,U060474,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG02,6,27.0,studio,city,False,107,2025-01-21,off,10000.0,10480.0,5,7,True,112,year1,12
LS026664,U031452,3,Kave Town Island,ม.กรุงเทพ,300,45,AG03,1,22.6,studio,standard,True,162,2026-02-10,off,10160.0,10160.0,1,4,True,163,year4,6
LS024278,U071241,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG01,5,25.6,studio,city,True,156,2025-12-30,normal,11990.0,11990.0,0,3,True,156,firstjob,12
LS022314,U030555,3,Kave Town Island,ม.กรุงเทพ,300,45,AG06,6,22.8,studio,standard,True,146,2025-10-21,shoulder,10960.0,10960.0,0,3,True,146,year4,12
LS021084,U031613,3,Kave Town Island,ม.กรุงเทพ,300,45,AG05,8,39.3,1BR Plus,standard,True,138,2025-08-26,normal,15170.0,15170.0,0,5,True,138,year1,6
LS029586,U120053,12,Kave Coco Bangsaen,ม.บูรพา,500,50,AG01,4,32.2,1BR,city,True,175,2026-05-12,peak,14910.0,14910.0,0,3,True,175,year2_3,6
LS029715,U060676,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG04,2,32.8,1BR,city,True,176,2026-05-19,peak,14840.0,14840.0,0,3,True,176,year1,6
LS022501,U140398,14,Kave Mutant Salaya,ม.มหิดล,750,30,AG02,6,32.2,1BR,standard,True,146,2025-10-21,shoulder,11760.0,11760.0,3,7,True,149,year4,12
LS026385,U030239,3,Kave Town Island,ม.กรุงเทพ,300,45,AG06,7,22.3,studio,standard,True,159,2026-01-20,normal,10570.0,10570.0,1,5,True,160,year2_3,12
LS010386,U030710,3,Kave Town Island,ม.กรุงเทพ,300,45,AG01,8,26.5,studio,city,True,72,2024-05-21,peak,11800.0,11800.0,0,3,True,72,year1,6
LS018775,U030253,3,Kave Town Island,ม.กรุงเทพ,300,45,AG02,7,24.8,studio,standard,True,120,2025-04-22,peak,8590.0,8590.0,2,3,True,122,year1,12
LS008914,U050931,5,Kave TU,ม.ธรรมศาสตร์,50,25,AG03,4,22.0,studio,city,False,58,2024-02-13,off,9230.0,9720.0,6,4,True,64,year1,12
LS010680,U050514,5,Kave TU,ม.ธรรมศาสตร์,50,25,AG04,3,41.7,1BR Plus,standard,False,74,2024-06-04,peak,15230.0,15990.0,4,21,True,78,year1,12
LS007849,U130199,13,Kave Pop Salaya,ม.มหิดล,1000,26,AG01,3,24.4,studio,standard,False,52,2024-01-02,peak,8280.0,9760.0,26,4,True,78,year4,6
LS005247,U010529,1,Kave Town Space,ม.กรุงเทพ,200,30,AG06,5,20.9,studio,standard,False,44,2023-11-07,peak,8820.0,10390.0,27,15,True,71,year2_3,6
LS013561,U000390,0,Kave Condo,ม.กรุงเทพ,100,20,AG06,6,38.5,1BR Plus,pool,True,99,2024-11-26,peak,12230.0,14410.0,27,7,True,126,year4,12
LS021460,U040828,4,Kave Town Colony,ม.กรุงเทพ,300,40,AG02,6,21.7,studio,standard,True,141,2025-09-16,normal,9860.0,9860.0,0,3,True,141,year4,12
LS005574,U140333,14,Kave Mutant Salaya,ม.มหิดล,750,30,AG04,1,46.5,1BR Plus,city,False,46,2023-11-21,peak,12070.0,14230.0,27,6,True,73,year1,12
LS024365,U080082,8,Kave Carnival,ม.รังสิต,400,40,AG06,5,26.2,studio,city,True,156,2025-12-30,off,10500.0,11550.0,9,3,True,165,year2_3,12
LS010439,U060575,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG06,4,22.4,studio,pool,True,72,2024-05-21,peak,11990.0,11990.0,1,5,True,73,year1,12
LS020901,U060473,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG01,1,30.3,1BR,city,True,136,2025-08-12,normal,13130.0,13130.0,0,6,True,136,year4,12
LS001874,U011026,1,Kave Town Space,ม.กรุงเทพ,200,30,AG01,3,21.5,studio,standard,False,6,2023-02-14,peak,8240.0,9720.0,14,5,True,20,year4,12
LS017418,U010910,1,Kave Town Space,ม.กรุงเทพ,200,30,AG02,8,26.9,studio,standard,False,111,2025-02-18,peak,7530.0,8870.0,21,28,True,132,firstjob,6
LS008783,U020019,2,Kave Town Shift,ม.กรุงเทพ,200,30,AG06,7,26.7,studio,city,True,57,2024-02-06,off,9200.0,9200.0,3,3,True,60,year2_3,12
LS006979,U090443,9,Kave Embryo,ม.ราชมงคลธัญบุรี,250,30,AG04,1,22.9,studio,standard,True,52,2024-01-02,off,8510.0,8960.0,6,3,True,58,year1,12
LS004901,U040825,4,Kave Town Colony,ม.กรุงเทพ,300,40,AG04,3,30.2,1BR,standard,True,41,2023-10-17,shoulder,13220.0,13220.0,0,4,True,41,year1,12
LS027592,U130031,13,Kave Pop Salaya,ม.มหิดล,1000,26,AG05,6,26.9,studio,pool,True,168,2026-03-24,peak,9560.0,10500.0,9,3,True,177,year1,6
LS030298,U070190,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG02,4,28.2,1BR,pool,True,180,2026-06-16,peak,15510.0,15510.0,1,11,True,181,year2_3,12
LS018552,U030748,3,Kave Town Island,ม.กรุงเทพ,300,45,AG05,3,23.8,studio,standard,True,119,2025-04-15,off,9860.0,9860.0,0,3,True,119,year4,12
LS003151,U060291,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG02,7,23.1,studio,standard,True,23,2023-06-13,peak,11020.0,11020.0,2,34,True,25,firstjob,6
LS019809,U150024,15,Kave Genesis Nakhon Pathom,ม.ศิลปากร,400,30,AG06,8,23.7,studio,standard,True,125,2025-05-27,peak,9390.0,9880.0,5,5,True,130,year4,12
LS030284,U060259,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG03,6,35.4,1BR,standard,True,180,2026-06-16,peak,14170.0,14170.0,0,8,True,180,year1,12
LS022647,U040940,4,Kave Town Colony,ม.กรุงเทพ,300,40,AG02,3,33.1,1BR,standard,True,147,2025-10-28,shoulder,12890.0,12890.0,0,3,True,147,year1,12
LS028700,U030271,3,Kave Town Island,ม.กรุงเทพ,300,45,AG05,6,26.1,studio,city,True,172,2026-04-21,peak,9860.0,9860.0,2,3,True,174,year2_3,6
LS025926,U180247,18,Kave Playground,ร.ร.บดินทรเดชา,150,60,AG04,2,33.7,1BR,standard,True,156,2025-12-30,peak,10550.0,12430.0,21,4,True,177,year2_3,12
LS023520,U060447,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG02,5,21.4,studio,standard,True,151,2025-11-25,shoulder,10380.0,10380.0,0,4,True,151,year1,6
LS028416,U050224,5,Kave TU,ม.ธรรมศาสตร์,50,25,AG04,7,22.0,studio,standard,False,171,2026-04-14,off,8530.0,8530.0,1,3,True,172,year1,12
LS020395,U070210,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG02,2,25.6,studio,standard,True,130,2025-07-01,peak,11200.0,11200.0,0,4,True,130,year2_3,6
LS002341,U031461,3,Kave Town Island,ม.กรุงเทพ,300,45,AG03,6,29.1,1BR,standard,True,12,2023-03-28,peak,11230.0,11820.0,7,5,True,19,year4,6
LS001513,U140582,14,Kave Mutant Salaya,ม.มหิดล,750,30,AG01,4,25.9,studio,standard,True,0,2023-01-03,off,7820.0,9220.0,17,3,True,17,year2_3,6
LS023849,U061238,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG01,3,33.8,1BR,standard,False,153,2025-12-09,normal,12860.0,12860.0,3,7,True,156,year2_3,12
LS000778,U031399,3,Kave Town Island,ม.กรุงเทพ,300,45,AG05,1,38.8,1BR Plus,standard,True,0,2023-01-03,off,13790.0,15280.0,13,3,True,13,year1,6
LS003882,U010796,1,Kave Town Space,ม.กรุงเทพ,200,30,AG03,6,22.4,studio,standard,False,31,2023-08-08,shoulder,8800.0,9750.0,13,11,True,44,year1,6
LS015754,U071419,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG02,3,20.7,studio,standard,False,104,2024-12-31,peak,8570.0,10110.0,19,4,True,123,year4,12
LS013223,U011051,1,Kave Town Space,ม.กรุงเทพ,200,30,AG06,8,25.0,studio,city,True,97,2024-11-12,shoulder,11050.0,11050.0,2,4,True,99,year2_3,12
LS017497,U010015,1,Kave Town Space,ม.กรุงเทพ,200,30,AG06,3,24.5,studio,standard,False,112,2025-02-25,peak,7830.0,8670.0,10,5,True,122,year2_3,6
LS017116,U031728,3,Kave Town Island,ม.กรุงเทพ,300,45,AG03,7,26.5,studio,city,True,106,2025-01-14,normal,10680.0,10680.0,0,3,True,106,year2_3,6
LS003813,U020564,2,Kave Town Shift,ม.กรุงเทพ,200,30,AG03,2,31.1,1BR,city,True,30,2023-08-01,normal,12640.0,13300.0,7,12,True,37,year1,12
LS002638,U040720,4,Kave Town Colony,ม.กรุงเทพ,300,40,AG04,1,24.9,studio,standard,False,16,2023-04-25,peak,9080.0,9080.0,3,6,True,19,year2_3,6
LS029007,U020512,2,Kave Town Shift,ม.กรุงเทพ,200,30,AG01,3,21.0,studio,pool,True,173,2026-04-28,peak,10290.0,10290.0,2,4,True,175,year4,12
LS022999,U070727,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG01,4,27.2,1BR,city,True,148,2025-11-04,shoulder,15220.0,15220.0,1,8,True,149,year2_3,12
LS008628,U060727,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG05,5,35.3,1BR,standard,True,54,2024-01-16,off,12470.0,13130.0,4,7,True,58,firstjob,12
LS006510,U050680,5,Kave TU,ม.ธรรมศาสตร์,50,25,AG05,3,20.7,studio,standard,True,52,2024-01-02,normal,11000.0,11000.0,1,5,True,53,firstjob,6
LS015017,U070682,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG01,3,35.4,1BR,standard,True,104,2024-12-31,peak,11680.0,13770.0,18,3,True,122,year4,6
LS021030,U000079,0,Kave Condo,ม.กรุงเทพ,100,20,AG06,5,44.0,1BR Plus,standard,True,138,2025-08-26,normal,13920.0,13920.0,2,3,True,140,year1,6
LS029891,U070154,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG03,8,26.1,studio,standard,True,177,2026-05-26,peak,11430.0,11430.0,0,5,True,177,year1,12
LS026468,U040177,4,Kave Town Colony,ม.กรุงเทพ,300,40,AG03,8,34.6,1BR,standard,True,160,2026-01-27,off,12540.0,12540.0,3,4,True,163,year1,6
LS014060,U031044,3,Kave Town Island,ม.กรุงเทพ,300,45,AG04,3,44.3,1BR Plus,standard,True,102,2024-12-17,normal,14350.0,14350.0,0,3,True,102,firstjob,6
LS019778,U060965,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG03,8,25.9,studio,standard,True,125,2025-05-27,peak,11560.0,11560.0,0,7,True,125,year4,12
LS000024,U000099,0,Kave Condo,ม.กรุงเทพ,100,20,AG05,2,21.0,studio,city,True,0,2023-01-03,peak,8170.0,9630.0,20,4,True,20,year4,6
LS002750,U011056,1,Kave Town Space,ม.กรุงเทพ,200,30,AG05,4,23.9,studio,standard,True,18,2023-05-09,peak,10470.0,10470.0,0,3,True,18,year2_3,12
LS000197,U010508,1,Kave Town Space,ม.กรุงเทพ,200,30,AG06,7,36.7,1BR Plus,standard,True,0,2023-01-03,off,12450.0,13800.0,11,4,True,11,year1,6
LS009264,U030966,3,Kave Town Island,ม.กรุงเทพ,300,45,AG04,4,25.5,studio,standard,True,63,2024-03-19,off,8920.0,8920.0,0,3,True,63,year2_3,12
LS022978,U070120,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG02,2,30.0,1BR,standard,True,148,2025-11-04,shoulder,14290.0,14290.0,0,3,True,148,year1,6
LS011866,U030220,3,Kave Town Island,ม.กรุงเทพ,300,45,AG04,2,29.9,1BR,standard,True,87,2024-09-03,normal,12460.0,12460.0,0,3,True,87,year1,12
LS024181,U150204,15,Kave Genesis Nakhon Pathom,ม.ศิลปากร,400,30,AG05,4,33.3,1BR,standard,True,155,2025-12-23,off,10240.0,11350.0,12,4,True,167,year1,6
LS018128,U040166,4,Kave Town Colony,ม.กรุงเทพ,300,40,AG06,4,29.2,1BR,pool,True,117,2025-04-01,off,11630.0,12240.0,4,3,True,121,year2_3,12
LS028711,U031147,3,Kave Town Island,ม.กรุงเทพ,300,45,AG01,8,27.5,1BR,city,True,172,2026-04-21,off,13670.0,13670.0,1,4,True,173,year1,12
LS007377-B,U100327,10,Kave Seed Kaset,ม.เกษตรศาสตร์,4600,25,AG05,1,25.6,studio,city,True,52,2024-01-02,peak,7540.0,9210.0,18,3,True,70,year2_3,12
LS017093,U020220,2,Kave Town Shift,ม.กรุงเทพ,200,30,AG04,8,21.0,studio,city,True,106,2025-01-14,normal,9310.0,9310.0,0,3,True,106,year4,6
LS012030,U020139,2,Kave Town Shift,ม.กรุงเทพ,200,30,AG01,3,24.0,studio,city,True,89,2024-09-17,shoulder,11050.0,11050.0,3,4,True,92,year1,12
LS003381,U140010,14,Kave Mutant Salaya,ม.มหิดล,750,30,AG05,5,35.3,1BR,city,True,25,2023-06-27,peak,15020.0,15020.0,0,4,True,25,firstjob,12
LS011927,U090422,9,Kave Embryo,ม.ราชมงคลธัญบุรี,250,30,AG05,2,24.1,studio,standard,True,87,2024-09-03,normal,9880.0,9880.0,0,3,True,87,year2_3,6
LS005560,U060222,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG04,2,24.3,studio,standard,True,46,2023-11-21,normal,10200.0,10200.0,2,10,True,48,year1,12
LS000624,U030673,3,Kave Town Island,ม.กรุงเทพ,300,45,AG06,4,23.3,studio,standard,True,0,2023-01-03,normal,10570.0,10570.0,0,3,True,0,year4,6
LS007243,U100193,10,Kave Seed Kaset,ม.เกษตรศาสตร์,4600,25,AG02,8,21.5,studio,pool,True,52,2024-01-02,peak,6710.0,7920.0,20,3,True,72,year2_3,6
LS023721,U110026,11,Kave Uni.Verse Bangsaen,ม.บูรพา,200,26,AG02,8,26.4,studio,standard,True,152,2025-12-02,peak,7890.0,9290.0,22,9,True,174,year1,12
LS017702,U031460,3,Kave Town Island,ม.กรุงเทพ,300,45,AG06,1,33.5,1BR,city,True,114,2025-03-11,peak,11210.0,12420.0,8,3,True,122,year2_3,6
LS023209,U090173,9,Kave Embryo,ม.ราชมงคลธัญบุรี,250,30,AG05,2,33.4,1BR,standard,True,149,2025-11-11,off,10580.0,12470.0,22,7,True,171,year1,6
LS018418,U100201,10,Kave Seed Kaset,ม.เกษตรศาสตร์,4600,25,AG01,2,29.2,1BR,standard,True,118,2025-04-08,peak,8070.0,9360.0,16,5,True,134,year1,12
LS015829,U110059,11,Kave Uni.Verse Bangsaen,ม.บูรพา,200,26,AG01,1,22.6,studio,standard,True,104,2024-12-31,peak,7720.0,9100.0,29,4,True,133,year4,6
LS009990,U050472,5,Kave TU,ม.ธรรมศาสตร์,50,25,AG06,6,25.5,studio,standard,False,68,2024-04-23,peak,9440.0,9940.0,4,6,True,72,year1,12
LS025251,U160088,16,KAVE Luminous Bangmod,มจธ.บางมด,600,23,AG02,8,24.2,studio,standard,True,156,2025-12-30,normal,8760.0,8760.0,3,3,True,159,year1,6
LS023027,U090475,9,Kave Embryo,ม.ราชมงคลธัญบุรี,250,30,AG01,3,22.9,studio,standard,False,148,2025-11-04,off,8650.0,10190.0,19,7,True,167,year4,12
LS015855,U110085,11,Kave Uni.Verse Bangsaen,ม.บูรพา,200,26,AG06,4,31.1,1BR,standard,True,104,2024-12-31,off,11190.0,12300.0,13,3,True,117,year4,12
LS012612,U060470,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG06,8,34.5,1BR,standard,False,93,2024-10-15,shoulder,12510.0,13170.0,4,9,True,97,year2_3,12
LS017243,U030078,3,Kave Town Island,ม.กรุงเทพ,300,45,AG04,4,23.3,studio,city,True,108,2025-01-28,normal,9540.0,9540.0,0,4,True,108,year2_3,12
LS006672,U090136,9,Kave Embryo,ม.ราชมงคลธัญบุรี,250,30,AG03,7,31.8,1BR,standard,True,52,2024-01-02,peak,9320.0,10990.0,21,3,True,73,year1,6
LS021893,U140287,14,Kave Mutant Salaya,ม.มหิดล,750,30,AG03,6,35.2,1BR,pool,True,143,2025-09-30,shoulder,13540.0,13540.0,2,4,True,145,year2_3,12
LS015372,U071037,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG03,5,26.5,studio,city,True,104,2024-12-31,peak,8790.0,10360.0,19,4,True,123,year2_3,12
LS003979,U020188,2,Kave Town Shift,ม.กรุงเทพ,200,30,AG06,1,23.0,studio,standard,True,32,2023-08-15,normal,9850.0,9850.0,0,4,True,32,year2_3,12
LS027101,U010168,1,Kave Town Space,ม.กรุงเทพ,200,30,AG05,6,27.7,1BR,standard,True,166,2026-03-10,peak,11270.0,12400.0,8,3,True,174,year2_3,12
LS014046-B,U021015,2,Kave Town Shift,ม.กรุงเทพ,200,30,AG06,7,35.1,1BR,pool,True,102,2024-12-17,off,11350.0,12560.0,9,7,True,111,year1,12
LS024357,U080074,8,Kave Carnival,ม.รังสิต,400,40,AG04,7,22.0,studio,standard,True,156,2025-12-30,off,9250.0,9740.0,5,3,True,161,year1,12
LS020442,U010447,1,Kave Town Space,ม.กรุงเทพ,200,30,AG06,4,25.2,studio,city,True,131,2025-07-08,peak,12240.0,12240.0,1,11,True,132,year1,12
LS019059-B,U061185,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG06,8,34.8,1BR,pool,True,121,2025-04-29,peak,13040.0,12740.0,1,3,True,122,year4,6
LS004056,U060886,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG05,2,25.3,studio,standard,True,32,2023-08-15,normal,10410.0,10410.0,1,3,True,33,year1,12
LS001009,U041075,4,Kave Town Colony,ม.กรุงเทพ,300,40,AG05,5,22.8,studio,city,True,0,2023-01-03,normal,10810.0,10810.0,1,3,True,1,year4,6
LS016008,U110238,11,Kave Uni.Verse Bangsaen,ม.บูรพา,200,26,AG04,2,26.1,studio,standard,True,104,2024-12-31,peak,8150.0,9610.0,21,4,True,125,year1,6
LS023982,U060939,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG06,7,38.8,1BR Plus,city,True,154,2025-12-16,normal,14400.0,14400.0,0,3,True,154,firstjob,12
LS025391,U160228,16,KAVE Luminous Bangmod,มจธ.บางมด,600,23,AG02,6,34.5,1BR,standard,True,156,2025-12-30,peak,9530.0,11230.0,24,5,True,180,year1,12
LS027811,U010183,1,Kave Town Space,ม.กรุงเทพ,200,30,AG04,6,20.7,studio,standard,True,170,2026-04-07,peak,8440.0,8880.0,4,4,True,174,year4,6
LS021393,U100447,10,Kave Seed Kaset,ม.เกษตรศาสตร์,4600,25,AG06,5,24.2,studio,city,True,140,2025-09-09,shoulder,7440.0,8160.0,10,8,True,150,year1,12
LS016930,U120915,12,Kave Coco Bangsaen,ม.บูรพา,500,50,AG02,4,26.3,studio,standard,True,104,2024-12-31,normal,9500.0,9500.0,3,3,True,107,firstjob,12
LS027503,U030485,3,Kave Town Island,ม.กรุงเทพ,300,45,AG05,7,34.4,1BR,standard,True,168,2026-03-24,peak,12110.0,12700.0,6,4,True,174,year1,6
LS017267,U060049,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG03,1,30.5,1BR,standard,True,108,2025-01-28,off,12190.0,12190.0,1,8,True,109,year1,6
LS013867-B,U090174,9,Kave Embryo,ม.ราชมงคลธัญบุรี,250,30,AG06,4,30.9,1BR,standard,True,100,2024-12-03,peak,9880.0,11750.0,23,6,True,123,year1,12
LS012310,U030080,3,Kave Town Island,ม.กรุงเทพ,300,45,AG04,4,21.4,studio,standard,True,91,2024-10-01,shoulder,10860.0,10860.0,0,3,True,91,year2_3,12
LS028890,U100122,10,Kave Seed Kaset,ม.เกษตรศาสตร์,4600,25,AG02,3,33.3,1BR,city,True,172,2026-04-21,peak,8410.0,8850.0,7,6,True,179,year1,12
LS024222,U031638,3,Kave Town Island,ม.กรุงเทพ,300,45,AG05,4,22.8,studio,standard,True,156,2025-12-30,normal,9980.0,9980.0,0,4,True,156,year1,12
LS016000-B,U110230,11,Kave Uni.Verse Bangsaen,ม.บูรพา,200,26,AG06,3,24.2,studio,standard,True,104,2024-12-31,normal,8870.0,9260.0,4,3,True,108,year4,12
LS025932,U180253,18,Kave Playground,ร.ร.บดินทรเดชา,150,60,AG01,2,25.7,studio,standard,True,156,2025-12-30,normal,10810.0,10810.0,1,3,True,157,year1,6
LS029186,U120472,12,Kave Coco Bangsaen,ม.บูรพา,500,50,AG01,7,23.3,studio,city,True,173,2026-04-28,peak,10010.0,10010.0,1,3,True,174,firstjob,6
LS011698,U050078,5,Kave TU,ม.ธรรมศาสตร์,50,25,AG06,6,28.9,1BR,standard,True,85,2024-08-20,shoulder,11880.0,13160.0,13,22,True,98,year2_3,6
LS012240,U061085,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG03,5,32.2,1BR,standard,True,90,2024-09-24,normal,12580.0,12580.0,0,3,True,90,year2_3,12
