week,date,project_id,season,n_searchers,n_listings_open,n_units_leased,occupancy,median_asking_rent
9,2023-03-07,5,off,20,96,920,0.905511811023622,9870.0
9,2023-03-07,6,off,23,105,1173,0.9178403755868544,10730.0
9,2023-03-07,14,off,9,83,505,0.858843537414966,9610.0
10,2023-03-14,0,off,12,102,487,0.8268251273344652,9605.0
10,2023-03-14,1,off,14,141,932,0.8685927306616962,10630.0
10,2023-03-14,2,off,16,137,936,0.8723205964585274,10510.0
10,2023-03-14,3,off,31,164,1606,0.9073446327683616,11515.0
10,2023-03-14,4,off,18,105,978,0.9030470914127424,11180.0
10,2023-03-14,5,off,10,104,912,0.8976377952755905,10240.0
10,2023-03-14,6,off,28,102,1176,0.92018779342723,10725.0
10,2023-03-14,14,off,13,84,504,0.8571428571428571,9770.0
11,2023-03-21,0,off,7,104,485,0.8234295415959253,9550.0
11,2023-03-21,1,off,17,144,929,0.8657968313140727,10560.0
11,2023-03-21,2,off,17,139,934,0.8704566635601119,10560.0
11,2023-03-21,3,off,26,161,1609,0.9090395480225988,11550.0
11,2023-03-21,4,off,13,101,982,0.9067405355493998,11180.0
11,2023-03-21,5,off,13,104,912,0.8976377952755905,10240.0
11,2023-03-21,6,off,20,102,1176,0.92018779342723,10700.0
11,2023-03-21,14,off,8,86,502,0.8537414965986394,9735.0
12,2023-03-28,0,off,10,107,482,0.8183361629881154,9430.0
12,2023-03-28,1,off,5,149,924,0.8611369990680335,10500.0
12,2023-03-28,2,off,19,143,930,0.8667287977632805,10520.0
12,2023-03-28,3,off,24,169,1601,0.9045197740112996,11550.0
12,2023-03-28,4,off,20,98,985,0.9095106186518928,11365.0
12,2023-03-28,5,off,14,97,919,0.904527559055118,10040.0
12,2023-03-28,6,off,19,101,1177,0.9209702660406884,10490.0
12,2023-03-28,14,off,8,87,501,0.8520408163265306,9760.0
13,2023-04-04,0,off,13,102,487,0.8268251273344652,9695.0
13,2023-04-04,1,off,15,152,921,0.8583410997204101,10330.0
13,2023-04-04,2,off,18,137,936,0.8723205964585274,10570.0
13,2023-04-04,3,off,19,171,1599,0.9033898305084744,11480.0
13,2023-04-04,4,off,19,101,982,0.9067405355493998,11340.0
13,2023-04-04,5,off,13,97,919,0.904527559055118,10060.0
13,2023-04-04,6,off,33,101,1177,0.9209702660406884,10740.0
13,2023-04-04,14,off,9,83,505,0.858843537414966,9840.0
14,2023-04-11,0,off,12,102,487,0.8268251273344652,9405.0
14,2023-04-11,1,off,10,158,915,0.8527493010251631,10065.0
14,2023-04-11,2,off,13,145,928,0.8648648648648649,10140.0
14,2023-04-11,3,off,21,177,1593,0.9,11080.0
14,2023-04-11,4,off,19,103,980,0.9048938134810712,10930.0
14,2023-04-11,5,off,26,96,920,0.905511811023622,10135.0
14,2023-04-11,6,off,26,92,1186,0.9280125195618152,10425.0
14,2023-04-11,14,off,7,86,502,0.8537414965986394,9680.0
15,2023-04-18,0,off,8,108,481,0.8166383701188455,9315.0
15,2023-04-18,1,off,8,170,903,0.8415657036346692,10020.0
15,2023-04-18,2,off,13,155,918,0.8555452003727866,10030.0
15,2023-04-18,3,off,35,163,1607,0.907909604519774,10990.0
15,2023-04-18,4,off,16,104,979,0.9039704524469068,10935.0
15,2023-04-18,5,off,19,98,918,0.903543307086614,10135.0
15,2023-04-18,6,off,26,95,1183,0.9256651017214398,10450.0
15,2023-04-18,14,off,10,87,501,0.8520408163265306,9480.0
16,2023-04-25,0,off,11,107,482,0.8183361629881154,9400.0
16,2023-04-25,1,off,15,171,902,0.8406337371854613,9950.0
16,2023-04-25,2,off,14,158,915,0.8527493010251631,10050.0
16,2023-04-25,3,off,26,161,1609,0.9090395480225988,10960.0
16,2023-04-25,4,off,13,104,979,0.9039704524469068,10935.0
16,2023-04-25,5,off,19,102,914,0.8996062992125984,10095.0
16,2023-04-25,6,off,26,97,1181,0.9241001564945228,10400.0
16,2023-04-25,14,off,14,83,505,0.858843537414966,9490.0
17,2023-05-02,0,off,7,109,480,0.8149405772495756,9250.0
17,2023-05-02,1,off,22,173,900,0.8387698042870456,9950.0
17,2023-05-02,2,off,15,155,918,0.8555452003727866,10100.0
17,2023-05-02,3,off,23,163,1607,0.907909604519774,10970.0
17,2023-05-02,4,off,16,102,981,0.9058171745152356,10755.0
17,2023-05-02,5,off,25,97,919,0.904527559055118,10350.0
17,2023-05-02,6,off,22,96,1182,0.9248826291079812,10390.0
17,2023-05-02,14,off,10,87,501,0.8520408163265306,9670.0
18,2023-05-09,0,peak,62,90,499,0.8471986417657046,9405.0
18,2023-05-09,1,peak,136,100,973,0.9068033550792172,10160.0
18,2023-05-09,2,peak,119,97,976,0.9095992544268406,10110.0
18,2023-05-09,3,peak,188,78,1692,0.9559322033898304,11320.0
18,2023-05-09,4,peak,147,55,1028,0.9492151431209604,11290.0
18,2023-05-09,5,peak,148,50,966,0.9507874015748032,10240.0
18,2023-05-09,6,peak,178,55,1223,0.956964006259781,10430.0
18,2023-05-09,14,peak,65,67,521,0.8860544217687075,10230.0
19,2023-05-16,0,peak,66,72,517,0.8777589134125636,9520.0
19,2023-05-16,1,peak,118,60,1013,0.9440820130475304,10600.0
19,2023-05-16,2,peak,110,68,1005,0.9366262814538676,10245.0
19,2023-05-16,3,peak,200,32,1738,0.9819209039548022,10410.0
19,2023-05-16,4,peak,129,32,1051,0.9704524469067404,11455.0
19,2023-05-16,5,peak,122,33,983,0.96751968503937,10470.0
19,2023-05-16,6,peak,172,29,1249,0.9773082942097028,11100.0
19,2023-05-16,14,peak,67,47,541,0.9200680272108844,10230.0
20,2023-05-23,0,peak,55,59,530,0.8998302207130731,9570.0
20,2023-05-23,1,peak,111,40,1033,0.9627213420316868,10980.0
20,2023-05-23,2,peak,103,45,1028,0.9580615097856476,10270.0
20,2023-05-23,3,peak,214,19,1751,0.989265536723164,10450.0
20,2023-05-23,4,peak,105,24,1059,0.9778393351800554,11790.0
20,2023-05-23,5,peak,158,19,997,0.9812992125984252,10470.0
20,2023-05-23,6,peak,184,19,1259,0.985133020344288,12120.0
20,2023-05-23,14,peak,82,32,556,0.9455782312925172,10525.0
21,2023-05-30,0,peak,61,51,538,0.9134125636672326,9810.0
21,2023-05-30,1,peak,121,28,1045,0.9739049394221808,11755.0
21,2023-05-30,2,peak,140,31,1042,0.9711090400745572,9700.0
21,2023-05-30,3,peak,209,10,1760,0.9943502824858758,10745.0
21,2023-05-30,4,peak,132,21,1062,0.9806094182825484,11970.0
21,2023-05-30,5,peak,132,14,1002,0.9862204724409448,10300.0
21,2023-05-30,6,peak,186,11,1267,0.9913928012519562,11800.0
21,2023-05-30,14,peak,65,23,565,0.9608843537414966,11000.0
22,2023-06-06,0,peak,58,39,550,0.933786078098472,9610.0
22,2023-06-06,1,peak,134,16,1057,0.9850885368126748,11400.0
22,2023-06-06,2,peak,118,25,1048,0.9767008387698044,10070.0
22,2023-06-06,3,peak,186,5,1765,0.9971751412429378,12280.0
22,2023-06-06,4,peak,109,12,1071,0.9889196675900276,12060.0
22,2023-06-06,5,peak,160,10,1006,0.9901574803149606,11075.0
22,2023-06-06,6,peak,167,9,1269,0.9929577464788732,11800.0
22,2023-06-06,14,peak,71,21,567,0.9642857142857144,11000.0
23,2023-06-13,0,peak,57,33,556,0.9439728353140916,10130.0
23,2023-06-13,1,peak,106,19,1054,0.9822926374650512,12420.0
23,2023-06-13,2,peak,136,20,1053,0.9813606710158436,10620.0
23,2023-06-13,3,peak,175,7,1763,0.996045197740113,12650.0
23,2023-06-13,4,peak,122,7,1076,0.9935364727608494,13780.0
23,2023-06-13,5,peak,172,8,1008,0.9921259842519684,10800.0
23,2023-06-13,6,peak,197,5,1273,0.9960876369327074,12040.0
23,2023-06-13,14,peak,68,18,570,0.9693877551020408,10890.0
24,2023-06-20,0,peak,58,33,556,0.9439728353140916,10560.0
24,2023-06-20,1,peak,136,11,1062,0.989748369058714,12970.0
24,2023-06-20,2,peak,141,15,1058,0.9860205032618826,10960.0
24,2023-06-20,3,peak,207,6,1764,0.9966101694915256,13075.0
24,2023-06-20,4,peak,113,11,1072,0.989843028624192,14060.0
24,2023-06-20,5,peak,132,7,1009,0.9931102362204725,11290.0
24,2023-06-20,6,peak,197,6,1272,0.9953051643192488,11625.0
24,2023-06-20,14,peak,66,19,569,0.967687074829932,11180.0
25,2023-06-27,0,peak,72,33,556,0.9439728353140916,10540.0
25,2023-06-27,1,peak,107,15,1058,0.9860205032618826,12420.0
25,2023-06-27,2,peak,130,10,1063,0.9906803355079216,11015.0
25,2023-06-27,3,peak,214,8,1762,0.9954802259887006,12795.0
25,2023-06-27,4,peak,121,11,1072,0.989843028624192,12390.0
25,2023-06-27,5,peak,133,12,1004,0.9881889763779528,12265.0
25,2023-06-27,6,peak,189,15,1263,0.988262910798122,12240.0
25,2023-06-27,14,peak,54,17,571,0.9710884353741496,11630.0
26,2023-07-04,0,peak,74,35,554,0.9405772495755518,11030.0
26,2023-07-04,1,peak,111,11,1062,0.989748369058714,12960.0
26,2023-07-04,2,peak,120,15,1058,0.9860205032618826,11180.0
26,2023-07-04,3,peak,203,5,1765,0.9971751412429378,12980.0
26,2023-07-04,4,peak,118,12,1071,0.9889196675900276,13060.0
26,2023-07-04,5,peak,145,10,1006,0.9901574803149606,11005.0
26,2023-07-04,6,peak,168,11,1267,0.9913928012519562,13680.0
26,2023-07-04,14,peak,71,16,572,0.9727891156462584,12420.0
27,2023-07-11,0,peak,63,34,555,0.9422750424448216,11390.0
27,2023-07-11,1,peak,118,18,1055,0.983224603914259,11530.0
27,2023-07-11,2,peak,141,10,1063,0.9906803355079216,11015.0
27,2023-07-11,3,peak,184,4,1766,0.9977401129943504,13530.0
27,2023-07-11,4,peak,101,13,1070,0.9879963065558632,13360.0
27,2023-07-11,5,peak,149,14,1002,0.9862204724409448,12520.0
27,2023-07-11,6,peak,184,12,1266,0.9906103286384976,13375.0
27,2023-07-11,14,peak,85,18,570,0.9693877551020408,12395.0
28,2023-07-18,0,peak,59,30,559,0.9490662139219016,11590.0
28,2023-07-18,1,peak,132,14,1059,0.9869524697110904,11495.0
28,2023-07-18,2,peak,114,12,1061,0.988816402609506,11225.0
28,2023-07-18,3,peak,185,6,1764,0.9966101694915256,15730.0
28,2023-07-18,4,peak,117,11,1072,0.989843028624192,14670.0
28,2023-07-18,5,peak,173,13,1003,0.9872047244094488,13140.0
28,2023-07-18,6,peak,180,14,1264,0.9890453834115804,12730.0
28,2023-07-18,14,peak,76,17,571,0.9710884353741496,12400.0
29,2023-07-25,0,peak,59,27,562,0.9541595925297114,11080.0
29,2023-07-25,1,peak,142,9,1064,0.9916123019571296,11480.0
29,2023-07-25,2,peak,122,8,1065,0.9925442684063374,11245.0
29,2023-07-25,3,peak,186,8,1762,0.9954802259887006,15330.0
29,2023-07-25,4,peak,116,14,1069,0.987072945521699,13790.0
29,2023-07-25,5,peak,160,10,1006,0.9901574803149606,12205.0
29,2023-07-25,6,peak,196,7,1271,0.9945226917057904,13930.0
29,2023-07-25,14,peak,76,17,571,0.9710884353741496,12400.0
30,2023-08-01,0,peak,68,30,559,0.9490662139219016,11120.0
30,2023-08-01,1,peak,115,14,1059,0.9869524697110904,11475.0
30,2023-08-01,2,peak,141,12,1061,0.988816402609506,12745.0
30,2023-08-01,3,peak,210,6,1764,0.9966101694915256,13910.0
30,2023-08-01,4,peak,137,11,1072,0.989843028624192,12200.0
30,2023-08-01,5,peak,133,11,1005,0.9891732283464568,12490.0
30,2023-08-01,6,peak,178,8,1270,0.9937402190923318,13205.0
30,2023-08-01,14,peak,70,19,569,0.967687074829932,12400.0
31,2023-08-08,0,normal,23,33,556,0.9439728353140916,11160.0
31,2023-08-08,1,normal,45,20,1053,0.9813606710158436,11010.0
31,2023-08-08,2,normal,38,19,1054,0.9822926374650512,12070.0
31,2023-08-08,3,normal,81,12,1758,0.9932203389830508,12480.0
31,2023-08-08,4,normal,33,18,1065,0.9833795013850416,12205.0
31,2023-08-08,5,normal,52,15,1001,0.985236220472441,13410.0
31,2023-08-08,6,normal,59,17,1261,0.986697965571205,10870.0
31,2023-08-08,14,normal,25,21,567,0.9642857142857144,11780.0
32,2023-08-15,0,normal,25,33,556,0.9439728353140916,11160.0
32,2023-08-15,1,normal,43,27,1046,0.9748369058713886,11130.0
32,2023-08-15,2,normal,44,30,1043,0.9720410065237652,11340.0
32,2023-08-15,3,normal,73,25,1745,0.9858757062146892,12220.0
32,2023-08-15,4,normal,49,22,1061,0.979686057248384,11250.0
32,2023-08-15,5,normal,42,21,995,0.9793307086614174,11870.0
32,2023-08-15,6,normal,67,20,1258,0.9843505477308294,10640.0
32,2023-08-15,14,normal,15,27,561,0.9540816326530612,11780.0
33,2023-08-22,0,normal,21,41,548,0.930390492359932,11160.0
33,2023-08-22,1,normal,35,35,1038,0.967381174277726,11290.0
33,2023-08-22,2,normal,47,30,1043,0.9720410065237652,10305.0
33,2023-08-22,3,normal,60,30,1740,0.9830508474576272,12095.0
33,2023-08-22,4,normal,36,29,1054,0.9732225300092336,12200.0
33,2023-08-22,5,normal,54,22,994,0.9783464566929134,11505.0
33,2023-08-22,6,normal,52,20,1258,0.9843505477308294,11555.0
33,2023-08-22,14,normal,32,29,559,0.9506802721088436,11680.0
34,2023-08-29,0,normal,22,41,548,0.930390492359932,10800.0
34,2023-08-29,1,normal,30,34,1039,0.968313140726934,10900.0
34,2023-08-29,2,normal,38,31,1042,0.9711090400745572,10840.0
34,2023-08-29,3,normal,54,36,1734,0.9796610169491524,10985.0
34,2023-08-29,4,normal,39,35,1048,0.9676823638042474,12640.0
34,2023-08-29,5,normal,54,23,993,0.9773622047244096,11870.0
34,2023-08-29,6,normal,46,23,1255,0.9820031298904538,12270.0
34,2023-08-29,14,normal,26,35,553,0.9404761904761904,10970.0
35,2023-09-05,0,normal,17,48,541,0.9185059422750425,10555.0
35,2023-09-05,1,normal,32,36,1037,0.9664492078285182,10535.0
35,2023-09-05,2,normal,35,32,1041,0.9701770736253494,11665.0
35,2023-09-05,3,normal,72,36,1734,0.9796610169491524,11695.0
35,2023-09-05,4,normal,51,34,1049,0.9686057248384118,12885.0
35,2023-09-05,5,normal,38,28,988,0.9724409448818898,11880.0
35,2023-09-05,6,normal,48,28,1250,0.9780907668231612,12290.0
35,2023-09-05,14,normal,25,36,552,0.9387755102040816,11035.0
36,2023-09-12,0,normal,17,49,540,0.9168081494057724,10660.0
36,2023-09-12,1,normal,30,45,1028,0.9580615097856476,10380.0
36,2023-09-12,2,normal,49,41,1032,0.961789375582479,11730.0
36,2023-09-12,3,normal,63,46,1724,0.9740112994350284,11725.0
36,2023-09-12,4,normal,57,37,1046,0.9658356417359188,12860.0
36,2023-09-12,5,normal,40,37,979,0.9635826771653544,11260.0
36,2023-09-12,6,normal,65,35,1243,0.9726134585289516,12490.0
36,2023-09-12,14,normal,25,42,546,0.9285714285714286,10925.0
37,2023-09-19,0,normal,33,47,542,0.9202037351443124,10260.0
37,2023-09-19,1,normal,40,44,1029,0.9589934762348556,10350.0
37,2023-09-19,2,normal,46,45,1028,0.9580615097856476,11360.0
37,2023-09-19,3,normal,62,44,1726,0.9751412429378532,11580.0
37,2023-09-19,4,normal,39,38,1045,0.9649122807017544,12610.0
37,2023-09-19,5,normal,50,34,982,0.966535433070866,11875.0
37,2023-09-19,6,normal,50,35,1243,0.9726134585289516,12610.0
37,2023-09-19,14,normal,19,46,542,0.9217687074829932,10925.0
38,2023-09-26,0,normal,21,47,542,0.9202037351443124,10070.0
38,2023-09-26,1,normal,37,48,1025,0.9552656104380244,10360.0
38,2023-09-26,2,normal,44,45,1028,0.9580615097856476,11450.0
38,2023-09-26,3,normal,63,45,1725,0.9745762711864406,11840.0
38,2023-09-26,4,normal,46,45,1038,0.9584487534626038,12280.0
38,2023-09-26,5,normal,45,35,981,0.9655511811023622,11920.0
38,2023-09-26,6,normal,51,40,1238,0.9687010954616588,12210.0
38,2023-09-26,14,normal,18,48,540,0.9183673469387756,11145.0
39,2023-10-03,0,shoulder,49,47,542,0.9202037351443124,10250.0
39,2023-10-03,1,shoulder,70,35,1038,0.967381174277726,10530.0
39,2023-10-03,2,shoulder,63,39,1034,0.9636533084808948,11880.0
39,2023-10-03,3,shoulder,115,41,1729,0.9768361581920904,12150.0
39,2023-10-03,4,shoulder,72,33,1050,0.969529085872576,12580.0
39,2023-10-03,5,shoulder,96,29,987,0.971456692913386,12140.0
39,2023-10-03,6,shoulder,116,27,1251,0.9788732394366196,12460.0
39,2023-10-03,14,shoulder,31,53,535,0.9098639455782312,10540.0
40,2023-10-10,0,shoulder,28,49,540,0.9168081494057724,10260.0
40,2023-10-10,1,shoulder,62,29,1044,0.972972972972973,10630.0
40,2023-10-10,2,shoulder,74,35,1038,0.967381174277726,11640.0
40,2023-10-10,3,shoulder,115,22,1748,0.9875706214689266,13050.0
40,2023-10-10,4,shoulder,63,30,1053,0.9722991689750692,12475.0
40,2023-10-10,5,shoulder,72,28,988,0.9724409448818898,12035.0
40,2023-10-10,6,shoulder,113,32,1246,0.974960876369327,12155.0
40,2023-10-10,14,shoulder,43,50,538,0.9149659863945578,10705.0
41,2023-10-17,0,shoulder,19,51,538,0.9134125636672326,10250.0
41,2023-10-17,1,shoulder,75,30,1043,0.9720410065237652,10635.0
41,2023-10-17,2,shoulder,67,35,1038,0.967381174277726,11200.0
41,2023-10-17,3,shoulder,122,25,1745,0.9858757062146892,13230.0
41,2023-10-17,4,shoulder,70,30,1053,0.9722991689750692,12305.0
41,2023-10-17,5,shoulder,93,27,989,0.9734251968503936,12150.0
41,2023-10-17,6,shoulder,107,30,1248,0.976525821596244,12100.0
41,2023-10-17,14,shoulder,45,49,539,0.9166666666666666,10640.0
42,2023-10-24,0,shoulder,40,51,538,0.9134125636672326,10330.0
42,2023-10-24,1,shoulder,77,41,1032,0.961789375582479,11360.0
42,2023-10-24,2,shoulder,56,45,1028,0.9580615097856476,11780.0
42,2023-10-24,3,shoulder,119,27,1743,0.9847457627118644,13160.0
42,2023-10-24,4,shoulder,64,33,1050,0.969529085872576,12170.0
42,2023-10-24,5,shoulder,71,35,981,0.9655511811023622,11820.0
42,2023-10-24,6,shoulder,111,31,1247,0.9757433489827856,11750.0
42,2023-10-24,14,shoulder,50,45,543,0.923469387755102,10790.0
43,2023-10-31,0,shoulder,53,43,546,0.9269949066213922,10560.0
43,2023-10-31,1,shoulder,72,46,1027,0.9571295433364398,10840.0
43,2023-10-31,2,shoulder,68,48,1025,0.9552656104380244,11795.0
43,2023-10-31,3,shoulder,102,35,1735,0.980225988700565,13340.0
43,2023-10-31,4,shoulder,65,35,1048,0.9676823638042474,12050.0
43,2023-10-31,5,shoulder,71,37,979,0.9635826771653544,11340.0
43,2023-10-31,6,shoulder,94,25,1253,0.9804381846635368,12340.0
43,2023-10-31,14,shoulder,39,45,543,0.923469387755102,10790.0
44,2023-11-07,0,shoulder,35,45,544,0.9235993208828522,10740.0
44,2023-11-07,1,shoulder,60,48,1025,0.9552656104380244,11060.0
44,2023-11-07,2,shoulder,68,49,1024,0.9543336439888164,11290.0
44,2023-11-07,3,shoulder,132,25,1745,0.9858757062146892,12820.0
44,2023-11-07,4,shoulder,79,40,1043,0.9630655586334256,12020.0
44,2023-11-07,5,shoulder,74,40,976,0.9606299212598424,11975.0
44,2023-11-07,6,shoulder,96,26,1252,0.9796557120500784,11900.0
44,2023-11-07,14,shoulder,38,46,542,0.9217687074829932,10505.0
45,2023-11-14,0,shoulder,34,46,543,0.9219015280135824,10730.0
45,2023-11-14,1,shoulder,64,42,1031,0.9608574091332712,11555.0
45,2023-11-14,2,shoulder,70,47,1026,0.956197576887232,11450.0
45,2023-11-14,3,shoulder,142,26,1744,0.9853107344632768,12750.0
45,2023-11-14,4,shoulder,69,36,1047,0.9667590027700832,12110.0
45,2023-11-14,5,shoulder,83,35,981,0.9655511811023622,12130.0
45,2023-11-14,6,shoulder,108,22,1256,0.9827856025039124,12160.0
45,2023-11-14,14,shoulder,40,45,543,0.923469387755102,10690.0
46,2023-11-21,0,shoulder,34,49,540,0.9168081494057724,10740.0
46,2023-11-21,1,shoulder,61,47,1026,0.956197576887232,11950.0
46,2023-11-21,2,shoulder,81,38,1035,0.9645852749301024,11880.0
46,2023-11-21,3,shoulder,102,24,1746,0.9864406779661016,12895.0
46,2023-11-21,4,shoulder,66,37,1046,0.9658356417359188,12360.0
46,2023-11-21,5,shoulder,106,24,992,0.9763779527559056,11885.0
46,2023-11-21,6,shoulder,89,23,1255,0.9820031298904538,12250.0
46,2023-11-21,14,shoulder,46,48,540,0.9183673469387756,10855.0
47,2023-11-28,0,shoulder,48,51,538,0.9134125636672326,11120.0
47,2023-11-28,1,shoulder,82,43,1030,0.9599254426840632,11970.0
47,2023-11-28,2,shoulder,56,40,1033,0.9627213420316868,12275.0
47,2023-11-28,3,shoulder,132,24,1746,0.9864406779661016,13060.0
47,2023-11-28,4,shoulder,75,38,1045,0.9649122807017544,12110.0
47,2023-11-28,5,shoulder,89,26,990,0.9744094488188976,13415.0
47,2023-11-28,6,shoulder,82,28,1250,0.9780907668231612,11955.0
47,2023-11-28,14,shoulder,37,47,541,0.9200680272108844,10920.0
48,2023-12-05,0,normal,21,56,533,0.9049235993208828,10770.0
48,2023-12-05,1,normal,25,62,1011,0.9422180801491148,10995.0
48,2023-12-05,2,normal,39,57,1016,0.9468779123951536,11910.0
48,2023-12-05,3,normal,57,47,1723,0.9734463276836158,11950.0
48,2023-12-05,4,normal,39,47,1036,0.9566020313942752,11740.0
48,2023-12-05,5,normal,58,38,978,0.9625984251968503,11325.0
48,2023-12-05,6,normal,60,40,1238,0.9687010954616588,11450.0
48,2023-12-05,14,normal,32,49,539,0.9166666666666666,11100.0
49,2023-12-12,0,normal,17,61,528,0.8964346349745331,10640.0
49,2023-12-12,1,normal,36,63,1010,0.9412861136999068,11210.0
49,2023-12-12,2,normal,34,73,1000,0.9319664492078286,12200.0
49,2023-12-12,3,normal,81,52,1718,0.9706214689265537,10950.0
49,2023-12-12,4,normal,47,59,1024,0.9455216989843028,11390.0
49,2023-12-12,5,normal,49,52,964,0.9488188976377953,10860.0
49,2023-12-12,6,normal,51,60,1218,0.9530516431924884,11145.0
49,2023-12-12,14,normal,27,56,532,0.9047619047619048,10260.0
50,2023-12-19,0,normal,34,63,526,0.8930390492359932,10260.0
50,2023-12-19,1,normal,38,73,1000,0.9319664492078286,10630.0
50,2023-12-19,2,normal,47,88,985,0.9179869524697112,11810.0
50,2023-12-19,3,normal,64,71,1699,0.9598870056497176,10950.0
