lease_id,unit_id,project_id,tenant_segment,week_start,date_start,week_end,lease_months,rent,is_renewal
L000036,U020964,2,year2_3,0,2023-01-03,24,6,10460.0,False
L000037,U020844,2,firstjob,0,2023-01-03,48,12,10490.0,False
L000038,U020421,2,year1,0,2023-01-03,48,12,9810.0,False
L000039,U020675,2,year1,0,2023-01-03,48,12,9160.0,False
L000040,U020034,2,year2_3,0,2023-01-03,48,12,11650.0,False
L000041,U020429,2,year1,0,2023-01-03,24,6,9560.0,False
L000042,U020265,2,year1,0,2023-01-03,24,6,9870.0,False
L000043,U020508,2,year1,0,2023-01-03,24,6,9650.0,False
L000044,U020031,2,firstjob,0,2023-01-03,48,12,9100.0,False
L000045,U020203,2,year1,0,2023-01-03,48,12,13030.0,False
L000046,U020667,2,year1,0,2023-01-03,48,12,10240.0,False
L000047,U020857,2,firstjob,0,2023-01-03,48,12,13040.0,False
L000048,U020213,2,year1,0,2023-01-03,48,12,12090.0,False
L000049,U020877,2,year1,0,2023-01-03,24,6,10650.0,False
L000050,U020381,2,year1,0,2023-01-03,48,12,11660.0,False
L000051,U020649,2,year2_3,0,2023-01-03,48,12,9580.0,False
L000052,U020506,2,year2_3,0,2023-01-03,24,6,9100.0,False
L000053,U020566,2,firstjob,0,2023-01-03,48,12,9770.0,False
L000054,U020246,2,year1,0,2023-01-03,24,6,9290.0,False
L000055,U020422,2,year1,0,2023-01-03,24,6,12340.0,False
L000056,U020824,2,year2_3,0,2023-01-03,24,6,11460.0,False
L000057,U030333,3,firstjob,0,2023-01-03,24,6,11990.0,False
L000058,U031538,3,year2_3,0,2023-01-03,48,12,10710.0,False
L000059,U030801,3,year2_3,0,2023-01-03,24,6,10320.0,False
L000060,U031453,3,year2_3,0,2023-01-03,24,6,13120.0,False
L000061,U031668,3,year1,0,2023-01-03,48,12,10480.0,False
L000062,U030529,3,year2_3,0,2023-01-03,48,12,9810.0,False
L000063,U031303,3,year2_3,0,2023-01-03,24,6,9770.0,False
L000064,U031563,3,year4,0,2023-01-03,48,12,10490.0,False
L000065,U031098,3,year2_3,0,2023-01-03,48,12,12710.0,False
L000066,U030272,3,year4,0,2023-01-03,48,12,10210.0,False
L000067,U030313,3,year2_3,0,2023-01-03,24,6,10390.0,False
L000068,U030807,3,year1,0,2023-01-03,48,12,11800.0,False
L000069,U030860,3,year1,0,2023-01-03,48,12,10230.0,False
L000070,U030671,3,year4,0,2023-01-03,24,6,10510.0,False
L000071,U031046,3,year2_3,0,2023-01-03,48,12,9470.0,False
L000072,U030556,3,year4,0,2023-01-03,48,12,9480.0,False
L000073,U031215,3,year2_3,0,2023-01-03,48,12,11930.0,False
L000074,U030070,3,year2_3,0,2023-01-03,24,6,10700.0,False
L000075,U031317,3,year1,0,2023-01-03,48,12,12210.0,False
L000076,U031692,3,year2_3,0,2023-01-03,48,12,9780.0,False
L000077,U031523,3,year2_3,0,2023-01-03,48,12,9890.0,False
L000078,U030276,3,year4,0,2023-01-03,24,6,9680.0,False
L000079,U030539,3,year2_3,0,2023-01-03,24,6,10230.0,False
L000080,U030405,3,year1,0,2023-01-03,48,12,10420.0,False
L000081,U030995,3,year2_3,0,2023-01-03,48,12,10090.0,False
L000082,U030673,3,year4,0,2023-01-03,24,6,10570.0,False
L000083,U030146,3,year4,0,2023-01-03,48,12,9950.0,False
L000084,U030920,3,year1,0,2023-01-03,48,12,10040.0,False
L000085,U031156,3,year2_3,0,2023-01-03,48,12,10570.0,False
L000086,U031251,3,year2_3,0,2023-01-03,48,12,11680.0,False
L000087,U031142,3,year1,0,2023-01-03,24,6,9390.0,False
L000088,U030848,3,year1,0,2023-01-03,48,12,9160.0,False
L000089,U030480,3,year2_3,0,2023-01-03,48,12,10080.0,False
L000090,U030513,3,year2_3,0,2023-01-03,48,12,9870.0,False
L000091,U031202,3,firstjob,0,2023-01-03,48,12,9780.0,False
L000092,U030601,3,year1,0,2023-01-03,24,6,16200.0,False
L000093,U030335,3,year2_3,0,2023-01-03,48,12,12480.0,False
L000094,U031685,3,firstjob,0,2023-01-03,48,12,10190.0,False
L000095,U030499,3,year2_3,0,2023-01-03,48,12,10080.0,False
L000096,U040705,4,year2_3,0,2023-01-03,48,12,9800.0,False
L000097,U040891,4,year1,0,2023-01-03,24,6,10610.0,False
L000098,U040128,4,year1,0,2023-01-03,24,6,10160.0,False
L000099,U040806,4,year2_3,0,2023-01-03,24,6,9330.0,False
L000100,U040838,4,firstjob,0,2023-01-03,24,6,10240.0,False
L000101,U040860,4,year1,0,2023-01-03,24,6,9900.0,False
L000102,U040051,4,firstjob,0,2023-01-03,48,12,11770.0,False
L000103,U041035,4,year2_3,0,2023-01-03,48,12,13160.0,False
L000104,U040279,4,year1,0,2023-01-03,24,6,11570.0,False
L000105,U040547,4,year1,0,2023-01-03,24,6,9610.0,False
L000106,U040108,4,year4,0,2023-01-03,48,12,9670.0,False
L000107,U040146,4,year1,0,2023-01-03,24,6,9680.0,False
L000108,U040423,4,year1,0,2023-01-03,24,6,13330.0,False
L000109,U040372,4,year2_3,0,2023-01-03,24,6,9660.0,False
L000110,U040394,4,year1,0,2023-01-03,48,12,10090.0,False
L000111,U040489,4,year4,0,2023-01-03,48,12,10480.0,False
L000112,U040945,4,year1,0,2023-01-03,24,6,9920.0,False
L000113,U040606,4,year2_3,0,2023-01-03,48,12,9950.0,False
L000114,U040430,4,firstjob,0,2023-01-03,24,6,9010.0,False
L000115,U040981,4,year4,0,2023-01-03,48,12,9680.0,False
L000116,U040779,4,year2_3,0,2023-01-03,48,12,8970.0,False
L000117,U040936,4,year1,0,2023-01-03,48,12,11390.0,False
L000118,U040902,4,year2_3,0,2023-01-03,24,6,10280.0,False
L000119,U040881,4,year4,0,2023-01-03,24,6,10500.0,False
L000120,U040063,4,firstjob,0,2023-01-03,48,12,9710.0,False
L000121,U040421,4,year4,0,2023-01-03,24,6,13770.0,False
L000122,U040827,4,year1,0,2023-01-03,48,12,10040.0,False
L000123,U040204,4,firstjob,0,2023-01-03,48,12,12900.0,False
L000124,U050098,5,year2_3,0,2023-01-03,48,12,9810.0,False
L000125,U050502,5,year2_3,0,2023-01-03,48,12,10080.0,False
L000126,U050819,5,year1,0,2023-01-03,48,12,8910.0,False
L000127,U050852,5,year2_3,0,2023-01-03,48,12,10630.0,False
L000128,U050219,5,year4,0,2023-01-03,48,12,10100.0,False
L000129,U050085,5,year2_3,0,2023-01-03,48,12,10230.0,False
L000130,U050787,5,year1,0,2023-01-03,48,12,12130.0,False
L000131,U050010,5,year1,0,2023-01-03,24,6,9390.0,False
L000132,U050162,5,year1,0,2023-01-03,24,6,15140.0,False
L000133,U050216,5,year1,0,2023-01-03,48,12,10060.0,False
L000134,U050398,5,year2_3,0,2023-01-03,48,12,9850.0,False
L000135,U050243,5,year4,0,2023-01-03,24,6,11430.0,False
L000136,U050565,5,year1,0,2023-01-03,48,12,10930.0,False
L000137,U050766,5,year4,0,2023-01-03,48,12,9560.0,False
L000138,U050734,5,year1,0,2023-01-03,24,6,12790.0,False
L000139,U050694,5,year1,0,2023-01-03,48,12,13190.0,False
L000140,U050164,5,year4,0,2023-01-03,48,12,10580.0,False
L000141,U050836,5,year2_3,0,2023-01-03,48,12,10500.0,False
L000142,U050291,5,year4,0,2023-01-03,24,6,9720.0,False
L000143,U050172,5,year1,0,2023-01-03,48,12,11640.0,False
L000144,U050159,5,year1,0,2023-01-03,24,6,13180.0,False
L000145,U050509,5,year4,0,2023-01-03,24,6,9670.0,False
L000146,U050969,5,year1,0,2023-01-03,48,12,14940.0,False
L000147,U050496,5,year2_3,0,2023-01-03,24,6,10120.0,False
L000148,U061260,6,year1,0,2023-01-03,48,12,9960.0,False
L000149,U060695,6,year4,0,2023-01-03,24,6,10810.0,False
L000150,U060277,6,year4,0,2023-01-03,48,12,10470.0,False
L000151,U060026,6,year1,0,2023-01-03,24,6,14870.0,False
L000152,U061235,6,year1,0,2023-01-03,24,6,10680.0,False
L000153,U060064,6,year1,0,2023-01-03,24,6,11660.0,False
L000154,U060079,6,year1,0,2023-01-03,48,12,12220.0,False
L000155,U060622,6,year4,0,2023-01-03,48,12,9780.0,False
L000156,U060323,6,firstjob,0,2023-01-03,24,6,11310.0,False
L000157,U060463,6,year2_3,0,2023-01-03,48,12,10840.0,False
L000158,U060561,6,year2_3,0,2023-01-03,48,12,9400.0,False
L000159,U060391,6,year2_3,0,2023-01-03,48,12,9870.0,False
L000160,U060007,6,year2_3,0,2023-01-03,48,12,10370.0,False
L000161,U060100,6,year1,0,2023-01-03,48,12,10860.0,False
L000162,U060426,6,year2_3,0,2023-01-03,48,12,9360.0,False
L000163,U060818,6,firstjob,0,2023-01-03,48,12,10390.0,False
L000164,U060934,6,year1,0,2023-01-03,48,12,12280.0,False
L000165,U060725,6,year4,0,2023-01-03,48,12,9150.0,False
L000166,U060864,6,year4,0,2023-01-03,48,12,9300.0,False
L000167,U060972,6,year1,0,2023-01-03,24,6,11260.0,False
L000168,U060740,6,firstjob,0,2023-01-03,48,12,9990.0,False
L000169,U060217,6,year2_3,0,2023-01-03,48,12,10150.0,False
L000170,U060288,6,year1,0,2023-01-03,48,12,11170.0,False
L000171,U060198,6,year1,0,2023-01-03,24,6,9060.0,False
L000172,U060393,6,year4,0,2023-01-03,48,12,12800.0,False
L000173,U060575,6,year2_3,0,2023-01-03,48,12,9390.0,False
L000174,U061246,6,year4,0,2023-01-03,24,6,10090.0,False
L000175,U061012,6,firstjob,0,2023-01-03,48,12,9250.0,False
L000176,U060394,6,year1,0,2023-01-03,24,6,12100.0,False
L000177,U140580,14,year1,0,2023-01-03,48,12,9450.0,False
L000178,U140569,14,year1,0,2023-01-03,24,6,14820.0,False
L000179,U140281,14,firstjob,0,2023-01-03,24,6,12720.0,False
L000180,U140024,14,year2_3,0,2023-01-03,24,6,9910.0,False
L000181,U140497,14,firstjob,0,2023-01-03,24,6,9470.0,False
L000182,U140555,14,year2_3,0,2023-01-03,48,12,10640.0,False
L000183,U140451,14,year4,0,2023-01-03,24,6,9300.0,False
L000184,U140268,14,year1,0,2023-01-03,48,12,8870.0,False
L000185,U140464,14,year2_3,0,2023-01-03,24,6,9230.0,False
L000186,U140420,14,year1,0,2023-01-03,24,6,9260.0,False
L000187,U140082,14,year2_3,0,2023-01-03,24,6,10560.0,False
L000188,U000039,0,renewal,1,2023-01-10,25,6,9750.0,True
L000189,U000061,0,renewal,1,2023-01-10,49,12,10480.0,True
L000190,U000103,0,renewal,1,2023-01-10,49,12,9860.0,True
L000191,U000232,0,renewal,1,2023-01-10,25,6,9440.0,True
L000192,U000422,0,renewal,1,2023-01-10,49,12,9990.0,True
L000193,U010117,1,renewal,1,2023-01-10,49,12,12770.0,True
L000194,U010126,1,renewal,1,2023-01-10,49,12,10110.0,True
L000195,U010307,1,renewal,1,2023-01-10,25,6,9890.0,True
L000196,U010387,1,renewal,1,2023-01-10,49,12,9960.0,True
L000197,U010577,1,renewal,1,2023-01-10,25,6,12230.0,True
L000198,U010650,1,renewal,1,2023-01-10,49,12,9860.0,True
L000199,U010879,1,renewal,1,2023-01-10,49,12,9600.0,True
L000200,U011003,1,renewal,1,2023-01-10,25,6,10040.0,True
L000201,U011030,1,renewal,1,2023-01-10,25,6,9090.0,True
L000202,U020115,2,renewal,1,2023-01-10,49,12,14970.0,True
L000203,U020135,2,renewal,1,2023-01-10,49,12,10620.0,True
L000204,U020159,2,renewal,1,2023-01-10,49,12,9930.0,True
L000205,U020511,2,renewal,1,2023-01-10,49,12,9420.0,True
L000206,U020585,2,renewal,1,2023-01-10,49,12,14660.0,True
L000207,U020676,2,renewal,1,2023-01-10,49,12,10560.0,True
L000208,U020732,2,renewal,1,2023-01-10,49,12,16560.0,True
L000209,U020829,2,renewal,1,2023-01-10,25,6,12710.0,True
L000210,U030209,3,renewal,1,2023-01-10,49,12,14950.0,True
L000211,U030538,3,renewal,1,2023-01-10,49,12,13530.0,True
L000212,U030543,3,renewal,1,2023-01-10,25,6,15720.0,True
L000213,U030552,3,renewal,1,2023-01-10,25,6,12250.0,True
L000214,U030692,3,renewal,1,2023-01-10,25,6,10630.0,True
L000215,U030741,3,renewal,1,2023-01-10,49,12,10140.0,True
L000216,U030808,3,renewal,1,2023-01-10,25,6,14830.0,True
L000217,U031003,3,renewal,1,2023-01-10,49,12,10380.0,True
L000218,U031073,3,renewal,1,2023-01-10,25,6,14210.0,True
L000219,U031217,3,renewal,1,2023-01-10,49,12,9940.0,True
L000220,U031369,3,renewal,1,2023-01-10,49,12,9990.0,True
L000221,U031402,3,renewal,1,2023-01-10,25,6,10340.0,True
L000222,U031499,3,renewal,1,2023-01-10,49,12,10860.0,True
L000223,U031597,3,renewal,1,2023-01-10,25,6,14550.0,True
L000224,U040183,4,renewal,1,2023-01-10,25,6,9840.0,True
L000225,U040217,4,renewal,1,2023-01-10,49,12,10140.0,True
L000226,U040376,4,renewal,1,2023-01-10,49,12,12730.0,True
L000227,U040483,4,renewal,1,2023-01-10,49,12,10650.0,True
L000228,U040653,4,renewal,1,2023-01-10,49,12,9920.0,True
L000229,U040831,4,renewal,1,2023-01-10,25,6,11160.0,True
L000230,U040845,4,renewal,1,2023-01-10,49,12,12440.0,True
L000231,U050182,5,renewal,1,2023-01-10,25,6,9950.0,True
L000232,U050311,5,renewal,1,2023-01-10,49,12,10360.0,True
L000233,U050844,5,renewal,1,2023-01-10,49,12,13370.0,True
L000234,U060091,6,renewal,1,2023-01-10,25,6,13380.0,True
L000235,U060252,6,renewal,1,2023-01-10,25,6,10730.0,True
L000236,U060280,6,renewal,1,2023-01-10,49,12,12500.0,True
L000237,U060324,6,renewal,1,2023-01-10,25,6,13130.0,True
L000238,U060435,6,renewal,1,2023-01-10,49,12,10070.0,True
L000239,U060605,6,renewal,1,2023-01-10,25,6,12900.0,True
L000240,U060666,6,renewal,1,2023-01-10,49,12,10570.0,True
L000241,U060699,6,renewal,1,2023-01-10,49,12,13410.0,True
L000242,U060711,6,renewal,1,2023-01-10,49,12,15650.0,True
L000243,U060715,6,renewal,1,2023-01-10,25,6,10890.0,True
L000244,U060758,6,renewal,1,2023-01-10,49,12,16120.0,True
L000245,U060933,6,renewal,1,2023-01-10,49,12,10370.0,True
L000246,U060986,6,renewal,1,2023-01-10,49,12,10140.0,True
L000247,U061048,6,renewal,1,2023-01-10,49,12,10930.0,True
L000248,U061071,6,renewal,1,2023-01-10,49,12,13310.0,True
L000249,U061105,6,renewal,1,2023-01-10,25,6,10180.0,True
L000250,U140008,14,renewal,1,2023-01-10,25,6,14620.0,True
L000251,U140154,14,renewal,1,2023-01-10,49,12,10500.0,True
L000252,U140278,14,renewal,1,2023-01-10,25,6,9780.0,True
L000253,U140512,14,renewal,1,2023-01-10,49,12,9500.0,True
L000254,U000264,0,year2_3,1,2023-01-10,49,12,10010.0,False
L000255,U000304,0,year4,1,2023-01-10,49,12,10100.0,False
L000256,U000052,0,year4,1,2023-01-10,49,12,9010.0,False
L000257,U000325,0,year2_3,1,2023-01-10,49,12,11340.0,False
L000258,U000065,0,year1,1,2023-01-10,49,12,9390.0,False
L000259,U000296,0,year1,1,2023-01-10,49,12,11240.0,False
L000260,U000276,0,year2_3,1,2023-01-10,25,6,14970.0,False
L000261,U000196,0,year2_3,1,2023-01-10,25,6,11800.0,False
L000262,U000026,0,firstjob,1,2023-01-10,49,12,11140.0,False
L000263,U011051,1,year1,1,2023-01-10,49,12,10680.0,False
L000264,U010236,1,year2_3,1,2023-01-10,49,12,10020.0,False
L000265,U010603,1,year4,1,2023-01-10,49,12,9740.0,False
L000266,U010400,1,firstjob,1,2023-01-10,49,12,10730.0,False
L000267,U010922,1,year1,1,2023-01-10,49,12,10150.0,False
L000268,U010559,1,year1,1,2023-01-10,49,12,13060.0,False
L000269,U010771,1,year2_3,1,2023-01-10,49,12,9480.0,False
L000270,U010514,1,firstjob,1,2023-01-10,49,12,12210.0,False
L000271,U010725,1,year2_3,1,2023-01-10,49,12,9270.0,False
L000272,U010713,1,year2_3,1,2023-01-10,25,6,12020.0,False
L000273,U010051,1,year1,1,2023-01-10,25,6,9290.0,False
L000274,U010926,1,year4,1,2023-01-10,49,12,9790.0,False
L000275,U010241,1,year1,1,2023-01-10,49,12,8860.0,False
L000276,U020406,2,year2_3,1,2023-01-10,49,12,9810.0,False
L000277,U021004,2,year1,1,2023-01-10,49,12,9890.0,False
L000278,U020109,2,year1,1,2023-01-10,25,6,11820.0,False
L000279,U020559,2,year1,1,2023-01-10,25,6,11540.0,False
L000280,U020411,2,year1,1,2023-01-10,49,12,11500.0,False
L000281,U020202,2,firstjob,1,2023-01-10,49,12,11600.0,False
L000282,U020329,2,firstjob,1,2023-01-10,25,6,15130.0,False
L000283,U020114,2,year2_3,1,2023-01-10,49,12,9550.0,False
L000284,U020168,2,year2_3,1,2023-01-10,49,12,9950.0,False
L000285,U020806,2,year4,1,2023-01-10,25,6,11830.0,False
L000286,U020340,2,year1,1,2023-01-10,25,6,9080.0,False
L000287,U020797,2,year2_3,1,2023-01-10,25,6,9570.0,False
L000288,U020560,2,year1,1,2023-01-10,49,12,10050.0,False
L000289,U020449,2,year2_3,1,2023-01-10,49,12,13460.0,False
L000290,U020230,2,firstjob,1,2023-01-10,49,12,12390.0,False
L000291,U020557,2,firstjob,1,2023-01-10,49,12,10060.0,False
L000292,U021070,2,year2_3,1,2023-01-10,25,6,11810.0,False
L000293,U020255,2,year2_3,1,2023-01-10,49,12,9380.0,False
L000294,U021066,2,firstjob,1,2023-01-10,49,12,10540.0,False
L000295,U020061,2,year2_3,1,2023-01-10,25,6,14200.0,False
L000296,U030578,3,year4,1,2023-01-10,49,12,10390.0,False
L000297,U031260,3,year1,1,2023-01-10,49,12,10530.0,False
L000298,U031642,3,year4,1,2023-01-10,25,6,9640.0,False
L000299,U031093,3,year2_3,1,2023-01-10,49,12,10410.0,False
L000300,U030248,3,year2_3,1,2023-01-10,49,12,9810.0,False
L000301,U030916,3,year1,1,2023-01-10,25,6,10960.0,False
L000302,U030945,3,year1,1,2023-01-10,25,6,10670.0,False
L000303,U030769,3,year1,1,2023-01-10,25,6,10990.0,False
L000304,U031493,3,year2_3,1,2023-01-10,49,12,10160.0,False
L000305,U030986,3,year2_3,1,2023-01-10,25,6,10420.0,False
L000306,U031473,3,firstjob,1,2023-01-10,49,12,15050.0,False
L000307,U030139,3,year2_3,1,2023-01-10,49,12,10260.0,False
L000308,U030797,3,year1,1,2023-01-10,25,6,11330.0,False
L000309,U030728,3,year2_3,1,2023-01-10,25,6,10050.0,False
L000310,U030490,3,firstjob,1,2023-01-10,49,12,13620.0,False
L000311,U030328,3,year1,1,2023-01-10,49,12,10590.0,False
L000312,U030611,3,firstjob,1,2023-01-10,25,6,12500.0,False
L000313,U030689,3,year1,1,2023-01-10,49,12,10130.0,False
L000314,U030549,3,year2_3,1,2023-01-10,49,12,10390.0,False
L000315,U031502,3,year4,1,2023-01-10,25,6,12810.0,False
L000316,U031497,3,year1,1,2023-01-10,49,12,9120.0,False
L000317,U031143,3,firstjob,1,2023-01-10,49,12,12520.0,False
L000318,U030620,3,year1,1,2023-01-10,49,12,13120.0,False
L000319,U031137,3,firstjob,1,2023-01-10,49,12,10740.0,False
L000320,U030053,3,year1,1,2023-01-10,49,12,10250.0,False
L000321,U031183,3,year1,1,2023-01-10,49,12,10630.0,False
L000322,U030093,3,year1,1,2023-01-10,25,6,9880.0,False
L000323,U031039,3,year1,1,2023-01-10,49,12,10280.0,False
L000324,U030730,3,year2_3,1,2023-01-10,49,12,10350.0,False
L000325,U030317,3,year2_3,1,2023-01-10,49,12,13130.0,False
L000326,U030318,3,year4,1,2023-01-10,25,6,10630.0,False
L000327,U030949,3,year2_3,1,2023-01-10,49,12,9360.0,False
L000328,U030287,3,year2_3,1,2023-01-10,49,12,9690.0,False
L000329,U030727,3,year2_3,1,2023-01-10,49,12,10280.0,False
L000330,U031567,3,year1,1,2023-01-10,25,6,12730.0,False
L000331,U030322,3,year4,1,2023-01-10,49,12,10250.0,False
L000332,U030310,3,year2_3,1,2023-01-10,49,12,14750.0,False
L000333,U030736,3,year2_3,1,2023-01-10,25,6,9680.0,False
L000334,U031323,3,year2_3,1,2023-01-10,49,12,13010.0,False
L000335,U030677,3,year4,1,2023-01-10,49,12,13060.0,False
L000336,U031605,3,year2_3,1,2023-01-10,49,12,9940.0,False
L000337,U030259,3,year1,1,2023-01-10,49,12,15010.0,False
L000338,U030705,3,year2_3,1,2023-01-10,25,6,10550.0,False
L000339,U030479,3,year4,1,2023-01-10,25,6,10260.0,False
L000340,U030249,3,year2_3,1,2023-01-10,25,6,15290.0,False
L000341,U030963,3,year2_3,1,2023-01-10,49,12,14970.0,False
L000342,U030281,3,year1,1,2023-01-10,25,6,11400.0,False
L000343,U030431,3,year2_3,1,2023-01-10,25,6,10230.0,False
L000344,U041075,4,year4,1,2023-01-10,25,6,10810.0,False
L000345,U040461,4,year2_3,1,2023-01-10,25,6,14780.0,False
L000346,U040020,4,year1,1,2023-01-10,49,12,9560.0,False
L000347,U040738,4,year4,1,2023-01-10,49,12,8330.0,False
L000348,U040056,4,year2_3,1,2023-01-10,49,12,9760.0,False
L000349,U040639,4,year1,1,2023-01-10,49,12,9640.0,False
L000350,U040173,4,year2_3,1,2023-01-10,25,6,9250.0,False
L000351,U040602,4,year1,1,2023-01-10,25,6,10280.0,False
L000352,U040402,4,firstjob,1,2023-01-10,25,6,11910.0,False
L000353,U040664,4,year1,1,2023-01-10,49,12,12920.0,False
L000354,U041072,4,year2_3,1,2023-01-10,49,12,10000.0,False
L000355,U040807,4,year2_3,1,2023-01-10,25,6,9850.0,False
L000356,U041022,4,year2_3,1,2023-01-10,49,12,9950.0,False
L000357,U040528,4,year2_3,1,2023-01-10,49,12,11970.0,False
L000358,U041024,4,year2_3,1,2023-01-10,49,12,8700.0,False
L000359,U040517,4,year1,1,2023-01-10,49,12,10410.0,False
L000360,U041032,4,year4,1,2023-01-10,25,6,14000.0,False
L000361,U040677,4,year1,1,2023-01-10,49,12,13590.0,False
L000362,U040355,4,year4,1,2023-01-10,49,12,9490.0,False
L000363,U040399,4,year2_3,1,2023-01-10,25,6,8970.0,False
L000364,U040921,4,year2_3,1,2023-01-10,25,6,10410.0,False
L000365,U040473,4,year1,1,2023-01-10,49,12,9120.0,False
L000366,U040391,4,year2_3,1,2023-01-10,49,12,9460.0,False
L000367,U040789,4,year4,1,2023-01-10,25,6,10370.0,False
L000368,U040377,4,year1,1,2023-01-10,25,6,10420.0,False
L000369,U040454,4,year1,1,2023-01-10,49,12,10100.0,False
L000370,U040650,4,year2_3,1,2023-01-10,25,6,10550.0,False
L000371,U050012,5,year2_3,1,2023-01-10,49,12,10010.0,False
L000372,U050563,5,year1,1,2023-01-10,25,6,10890.0,False
L000373,U050676,5,firstjob,1,2023-01-10,49,12,9450.0,False
L000374,U050270,5,year1,1,2023-01-10,49,12,10560.0,False
L000375,U050542,5,firstjob,1,2023-01-10,49,12,10050.0,False
L000376,U050562,5,year1,1,2023-01-10,49,12,9980.0,False
L000377,U050648,5,year2_3,1,2023-01-10,49,12,10410.0,False
L000378,U050916,5,year2_3,1,2023-01-10,49,12,11190.0,False
L000379,U050303,5,year1,1,2023-01-10,25,6,10610.0,False
L000380,U050767,5,year1,1,2023-01-10,49,12,11880.0,False
L000381,U050363,5,year2_3,1,2023-01-10,49,12,9950.0,False
L000382,U050000,5,year2_3,1,2023-01-10,49,12,10210.0,False
L000383,U050598,5,year4,1,2023-01-10,25,6,9610.0,False
L000384,U050660,5,year2_3,1,2023-01-10,25,6,10680.0,False
L000385,U050765,5,year1,1,2023-01-10,49,12,9840.0,False
L000386,U050674,5,year1,1,2023-01-10,49,12,10270.0,False
L000387,U050388,5,year1,1,2023-01-10,49,12,14250.0,False
L000388,U050944,5,year2_3,1,2023-01-10,25,6,13450.0,False
L000389,U050575,5,year4,1,2023-01-10,49,12,9320.0,False
L000390,U050868,5,year1,1,2023-01-10,25,6,9880.0,False
L000391,U050364,5,year4,1,2023-01-10,49,12,9860.0,False
L000392,U050187,5,year1,1,2023-01-10,49,12,11100.0,False
L000393,U050566,5,year1,1,2023-01-10,49,12,13390.0,False
L000394,U050546,5,year1,1,2023-01-10,49,12,13280.0,False
L000395,U060691,6,firstjob,1,2023-01-10,25,6,10050.0,False
L000396,U060329,6,year2_3,1,2023-01-10,49,12,10710.0,False
L000397,U060753,6,year2_3,1,2023-01-10,49,12,11080.0,False
L000398,U060937,6,year2_3,1,2023-01-10,49,12,9260.0,False
L000399,U060901,6,firstjob,1,2023-01-10,49,12,10280.0,False
L000400,U060127,6,year1,1,2023-01-10,49,12,10420.0,False
L000401,U060044,6,year1,1,2023-01-10,49,12,10380.0,False
L000402,U060833,6,year1,1,2023-01-10,49,12,10070.0,False
L000403,U060086,6,firstjob,1,2023-01-10,49,12,9160.0,False
L000404,U060724,6,firstjob,1,2023-01-10,49,12,9090.0,False
L000405,U060560,6,firstjob,1,2023-01-10,49,12,10210.0,False
L000406,U061181,6,firstjob,1,2023-01-10,25,6,12160.0,False
L000407,U060700,6,year4,1,2023-01-10,25,6,9230.0,False
L000408,U060734,6,year1,1,2023-01-10,49,12,9720.0,False
L000409,U060503,6,year1,1,2023-01-10,25,6,16880.0,False
